date,date_approx,site_group,site_bucket,vis_ft_low,vis_ft_high,vis_ft_mid
2026-05-25,0,Shale Island,boat,10,10,10
2026-05-25,0,VT3,boat,10,10,10
2023-07-10,0,Wharf,bay_shore,30,30,30
2022-01-09,0,Tankers Reef,boat,15,15,15
2025-12-23,0,Hopkins,boat,30,30,30
2025-08-26,0,Aumentos,boat,10,10,10
2025-06-28,0,Aumentos,boat,30,30,30
2025-06-28,0,Metridium Mountain,boat,30,30,30
2025-06-08,0,Hopkins,boat,50,50,50
2025-06-08,0,Aumentos,boat,50,50,50
2026-02-21,0,Hopkins,boat,15,15,15
2026-02-21,0,Aumentos,boat,15,15,15
2025-11-15,0,McAbee,bay_shore,50,50,50
2026-01-24,0,boat,boat,74,74,74
2024-07-09,0,Breakwater,bay_shore,25,25,25
2025-12-14,0,Point Lobos,lobos,35,35,35
2025-12-14,0,Point Lobos,lobos,60,60,60
2020-09-30,1,Lovers Point,bay_shore,5,5,5
2025-12-20,0,Shale Island,boat,20,20,20
2025-12-20,0,VT3,boat,20,20,20
2025-07-25,0,Mr Ed,boat,25,25,25
2025-07-25,0,Shale Island,boat,25,25,25
2026-05-25,0,Shale Island,boat,10,10,10
2026-05-25,0,VT3,boat,10,10,10
2026-01-16,0,Mt Chetron,boat,25,25,25
2026-01-16,0,Shale Island,boat,18,18,18
2022-01-09,0,Tankers Reef,boat,15,15,15
2025-12-23,0,Hopkins,boat,30,30,30
2025-08-26,0,Aumentos,boat,30,30,30
2025-08-26,1,Hopkins,boat,30,30,30
2018-04-24,0,Aumentos,boat,12,12,12
2018-04-24,0,Breakwater,bay_shore,10,10,10
2025-06-08,0,Hopkins,boat,50,50,50
2025-06-08,0,Aumentos,boat,50,50,50
2025-06-28,0,Aumentos,boat,30,30,30
2025-06-28,0,Metridium Mountain,boat,30,30,30
2025-11-15,0,McAbee,bay_shore,50,50,50
2020-07-10,0,Mt Chetron,boat,15,15,15
2026-03-31,0,Monastery,carmel_shore,50,50,50
2023-06-12,0,Wharf,bay_shore,15,15,15
2023-03-14,0,Wharf,bay_shore,20,20,20
2024-04-28,1,Wharf,bay_shore,15,15,15
2026-01-18,0,Point Lobos,lobos,40,40,40
2019-06-22,0,Aquarium Reef,boat,20,30,25
2019-06-22,0,McAbee,bay_shore,30,40,35
2024-03-08,0,Metridium Mountain,boat,10,15,12.5
2025-05-26,0,Monastery,carmel_shore,30,30,30
2025-07-04,0,Mr Ed,boat,30,30,30
2025-07-04,0,VT3,boat,30,30,30
2026-04-03,0,Otter Cove,boat,3,30,16.5
2026-01-17,1,Butterfly House,carmel_shore,30,40,35
2024-05-24,0,Breakwater,bay_shore,10,10,10
2024-05-24,0,Metridium Mountain,boat,30,30,30
2025-12-15,0,Breakwater,bay_shore,40,40,40
2025-07-18,0,Daves Ridge,boat,10,15,12.5
2026-04-09,0,Monastery,carmel_shore,30,30,30
2026-03-07,0,unknown,boat,15,20,17.5
2023-05-17,1,Breakwater,bay_shore,15,15,15
2023-04-20,0,Breakwater,bay_shore,15,15,15
2023-06-05,1,Breakwater,bay_shore,20,20,20
2026-05-07,1,Breakwater,bay_shore,10,10,10
2026-05-07,1,Breakwater,bay_shore,10,10,10
2026-03-14,0,Mr Ed,boat,15,15,15
2026-03-14,0,VT3,boat,15,15,15
2026-03-09,0,Breakwater,bay_shore,20,25,22.5
2022-01-20,0,Monastery,carmel_shore,50,50,50
